TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,QuantitySold,PaymentMethod
1,2025-01-09,1020,2023,401,0.0,643.02,6,CreditCard
2,2024-07-10,1034,2091,404,2.0,529.24,3,MobilePay
4,2024-12-27,1186,2015,404,0.0,1275.85,2,DebitCard
5,2025-04-21,1049,2005,402,0.0,1739.64,9,CreditCard
6,2024-10-30,1093,2054,402,0.0,1270.12,4,Cash
7,2025-02-20,1005,2097,402,0.0,644.45,7,MobilePay
8,2024-10-05,1054,2072,403,3.0,1833.37,1,DebitCard
9,2024-11-22,1063,2068,403,3.0,828.83,8,CreditCard
10,2024-08-30,1130,2096,401,1.0,1594.55,5,Cash
11,2024-11-11,1005,2059,403,0.0,273.38,12,MobilePay
12,2025-04-21,1196,2014,403,3.0,0.0,3,DebitCard
13,2025-02-16,1128,2064,401,2.0,1039.94,10,Cash
14,2024-08-22,1041,2099,401,3.0,1861.74,2,CreditCard
16,2024-12-11,1032,2021,403,3.0,1861.38,4,DebitCard
17,2025-03-02,1182,2040,404,3.0,41.46,9,CreditCard
18,2024-10-14,1058,2000,401,0.0,1815.57,7,MobilePay
19,2025-04-12,1071,2091,402,3.0,2628.38,1,Cash
20,2024-11-07,1005,2052,404,0.0,1969.12,11,DebitCard
21,2024-07-12,1086,2013,402,3.0,1325.7,8,MobilePay
22,2024-11-22,1019,2070,401,0.0,127.04,5,CreditCard
23,2025-05-21,1060,2091,404,3.0,1240.87,12,Cash
24,2024-06-01,1116,2097,404,2.0,763.17,3,DebitCard
25,2025-02-22,1089,2039,404,1.0,2785.23,10,CreditCard
26,2025-04-09,1066,2030,404,1.0,127.5,2,MobilePay
27,2024-07-05,1144,2033,402,2.0,821.78,6,Cash
28,2025-01-24,1080,2009,401,0.0,39.84,4,DebitCard
29,2024-09-17,1017,2047,403,2.0,1975.1,9,Cash
30,2025-01-16,1020,2013,402,0.0,1199.52,7,MobilePay
31,2024-09-23,1089,2041,404,0.0,2406.09,1,CreditCard
32,2024-09-21,1116,2033,402,3.0,268.15,11,DebitCard
33,2025-05-13,1038,2047,402,0.0,1803.01,8,CreditCard
34,2025-03-19,1091,2035,401,3.0,3872.65,5,Cash
35,2025-05-06,1116,2022,404,0.0,697.76,12,MobilePay
36,2025-05-08,1188,2034,402,0.0,125.51,3,DebitCard
37,2024-11-25,1032,2029,402,0.0,55.96,10,MobilePay
38,2025-04-13,1071,2065,404,2.0,274.92,2,CreditCard
40,2024-07-19,1048,2079,401,1.0,814.88,4,DebitCard
41,2025-01-21,1080,2015,403,3.0,1409.56,9,CreditCard
42,2024-12-15,1005,2022,403,0.0,459.86,7,MobilePay
43,2025-03-15,1082,2056,402,1.0,603.38,1,Cash
44,2025-01-21,1023,2096,402,1.0,337.34,11,DebitCard
45,2024-06-21,1156,2009,404,1.0,63.76,8,Cash
46,2024-11-05,1034,2098,401,1.0,1918.03,5,CreditCard
47,2024-12-07,1071,2015,404,3.0,1976.39,12,MobilePay
48,2024-12-26,1113,2092,404,3.0,1500.13,3,DebitCard
49,2024-11-26,1063,2035,404,2.0,3710.95,10,CreditCard
50,2024-09-05,1138,2023,402,1.0,789.03,2,Cash
52,2024-10-30,1089,2079,404,1.0,1728.21,4,DebitCard
53,2024-11-29,1171,2051,402,1.0,1091.54,9,MobilePay
54,2025-04-29,1169,2079,402,1.0,2205.97,7,CreditCard
55,2024-08-27,1194,2035,404,0.0,3870.61,1,Cash
56,2024-06-22,1057,2099,401,1.0,89.74,11,DebitCard
57,2024-08-03,1066,2027,404,2.0,1234.13,8,CreditCard
58,2025-02-28,1116,2013,401,3.0,3717.57,5,MobilePay
59,2024-07-03,1160,2041,401,0.0,2427.7,12,Cash
61,2025-02-09,1187,2083,403,3.0,1660.18,10,Cash
62,2024-12-25,1062,2011,403,1.0,1161.21,2,MobilePay
64,2025-02-07,1002,2024,401,3.0,1528.42,4,DebitCard
65,2025-02-02,1125,2002,401,3.0,647.1,9,CreditCard
66,2024-12-21,1135,2070,403,3.0,45.2,7,Cash
67,2024-07-20,1066,2097,402,3.0,3153.14,1,MobilePay
68,2025-03-05,1025,2037,402,2.0,1091.56,11,DebitCard
69,2024-09-20,1141,2023,404,0.0,2612.29,8,MobilePay
70,2024-11-16,1034,2091,401,3.0,3096.6,5,CreditCard
72,2024-09-01,1115,2038,404,0.0,1493.17,3,DebitCard
73,2025-05-14,1071,2019,402,0.0,2338.33,10,CreditCard
74,2025-02-01,1008,2041,404,0.0,1690.5,2,MobilePay
75,2025-03-16,1050,2069,402,2.0,189.25,6,Cash
76,2024-08-09,1191,2036,404,2.0,1888.22,4,DebitCard
77,2024-12-03,1020,2055,403,0.0,1925.73,9,Cash
78,2025-04-03,1005,2086,403,1.0,1320.44,7,CreditCard
79,2025-05-02,1005,2062,401,3.0,1356.76,1,MobilePay
80,2025-04-11,1177,2084,404,0.0,663.31,11,DebitCard
81,2024-10-09,1103,2000,404,1.0,1264.14,8,CreditCard
82,2024-12-02,1013,2097,402,3.0,2681.2,5,Cash
84,2024-07-18,1165,2063,403,2.0,990.87,3,DebitCard
85,2024-11-25,1037,2076,402,2.0,1716.1,10,MobilePay
86,2024-10-15,1068,2036,403,3.0,920.77,2,CreditCard
87,2024-11-29,1195,2058,403,1.0,505.45,6,Cash
88,2025-03-11,1032,2048,404,1.0,122.19,4,DebitCard
89,2024-12-03,1025,2056,401,3.0,331.1,9,CreditCard
90,2025-04-16,1019,2033,403,3.0,1710.94,7,MobilePay
91,2025-04-09,1097,2080,404,0.0,507.8,1,Cash
92,2025-01-31,1058,2055,401,0.0,1403.3,11,DebitCard
94,2024-08-10,1005,2030,404,1.0,1293.91,5,MobilePay
95,2024-11-22,1119,2086,402,0.0,1975.92,12,CreditCard
96,2024-09-30,1176,2041,402,3.0,2216.14,3,DebitCard
98,2025-05-23,1190,2036,402,2.0,420.76,2,Cash
99,2024-09-11,1196,2017,401,0.0,909.61,6,MobilePay
101,2024-10-25,1069,2032,404,2.0,710.49,9,MobilePay
102,2024-07-19,1036,2028,404,2.0,819.42,7,CreditCard
103,2024-09-16,1089,2086,403,2.0,505.95,1,Cash
104,2024-06-11,1143,2070,402,3.0,52.31,11,DebitCard
105,2024-11-07,1034,2046,401,1.0,61.94,8,CreditCard
106,2025-05-15,1138,2095,402,0.0,1250.52,5,MobilePay
107,2025-05-10,1176,2056,404,2.0,1387.08,12,Cash
108,2024-12-13,1091,2041,402,3.0,1454.48,3,DebitCard
109,2025-01-09,1012,2031,402,1.0,1542.06,10,Cash
110,2024-08-24,1071,2029,401,1.0,85.63,2,CreditCard
111,2025-03-20,1034,2054,402,0.0,735.8,6,MobilePay
