ProductID,ProductName,Category,UnitPrice,WeightPounds,Supplier
2000,Electronics-Signal,Electronics,969.31,12,PrimeSource
2001,Electronics-Boost,Electronics,412.35,7,BlueHarbor
2002,Office-Family,Office,866,33,NorthLine
2003,Electronics-Training,Electronics,385.18,45,MetroGoods
2004,Office-Where,Office,927.25,18,NorthLine
2005,Office-Huge,Office,428.78,29,PrimeSource
2006,Office-Class,Office,198,4,BlueHarbor
2007,Clothing-Over,Clothing,583.39,26,MetroGoods
2008,Electronics-Skin,Electronics,66.59,39,PrimeSource
2009,Office-Raise,Office,66.31,11,NorthLine
2010,Electronics-Themselves,Electronics,77.84,22,BlueHarbor
2011,Electronics-Religious,Electronics,409.74,31,MetroGoods
2012,Clothing-Artist,Clothing,623.19,6,NorthLine
2013,Office-Cultural,Office,935.36,47,BlueHarbor
2014,Clothing-Eat,Clothing,246.3,15,PrimeSource
2015,Office-Itself,Office,674.97,9,MetroGoods
2016,Home-He,Home,323.02,28,PrimeSource
2017,Electronics-Feeling,Electronics,463.7,34,NorthLine
2018,Electronics-Nature,Electronics,542.26,19,BlueHarbor
2019,Home-History,Home,933.93,41,MetroGoods
2020,Electronics-Share,Electronics,375.83,3,BlueHarbor
2021,Clothing-Skill,Clothing,835.41,25,PrimeSource
2022,Home-Economy,Home,671.18,14,NorthLine
2023,Home-Yeah,Home,939.54,37,MetroGoods
2024,Clothing-Paper,Clothing,124.27,8,NorthLine
2025,Electronics-Assume,Electronics,279.62,49,BlueHarbor
2026,Clothing-Use,Clothing,211.56,21,PrimeSource
2027,Home-Purpose,Home,258.61,32,MetroGoods
2028,Electronics-Take,Electronics,637.94,5,BlueHarbor
2029,Home-Yourself,Home,13.51,43,NorthLine
2030,Clothing-First,Clothing,169.97,17,PrimeSource
2031,Office-Develop,Office,565.3,10,MetroGoods
2032,Electronics-There,Electronics,945.6,27,PrimeSource
2033,Clothing-Argue,Clothing,836.25,36,BlueHarbor
2034,Clothing-Feel,Clothing,136.17,13,NorthLine
2035,Home-According,Home,899.99,48,MetroGoods
2036,Electronics-Candidate,Electronics,217.98,20,NorthLine
2037,Clothing-Meeting,Clothing,360.14,30,PrimeSource
2038,Office-Soon,Office,926.51,2,BlueHarbor
2039,Clothing-Need,Clothing,976.44,44,MetroGoods
2040,Clothing-Determine,Clothing,34.54,16,BlueHarbor
2041,Home-Assume,Home,804.21,24,NorthLine
2042,Clothing-Lawyer,Clothing,167.61,35,PrimeSource
2043,Electronics-Practice,Electronics,873.45,1,MetroGoods
2044,Office-Society,Office,207.58,40,PrimeSource
2045,Office-Next,Office,312.14,23,BlueHarbor
2046,Clothing-Worry,Clothing,33.43,38,NorthLine
2047,Clothing-Hair,Clothing,334.98,50,MetroGoods
2048,Electronics-Candidate,Electronics,357.63,7,NorthLine
2049,Office-Easy,Office,939.84,29,PrimeSource
2050,Electronics-Young,Electronics,186.78,12,BlueHarbor
2051,Home-Century,Home,117.32,46,MetroGoods
2052,Office-Year,Office,731.26,18,BlueHarbor
2053,Home-Ground,Home,610.15,33,PrimeSource
2054,Electronics-Above,Electronics,900.51,4,NorthLine
2055,Clothing-Politics,Clothing,53.94,27,MetroGoods
2056,Office-About,Office,524.72,39,PrimeSource
2057,Clothing-Identify,Clothing,436.98,11,BlueHarbor
2058,Home-Wear,Home,666.75,22,NorthLine
2059,Electronics-Clear,Electronics,512.05,31,MetroGoods
2060,Office-Term,Office,408.38,6,NorthLine
2061,Home-Quite,Home,199.92,45,PrimeSource
2062,Office-Receive,Office,619.36,15,BlueHarbor
2063,Home-Good,Home,552.46,9,MetroGoods
2064,Electronics-Stop,Electronics,294.04,28,BlueHarbor
2065,Office-Animal,Office,470.34,34,NorthLine
2066,Office-Occur,Office,516.06,19,PrimeSource
2067,Clothing-Remain,Clothing,290.95,41,MetroGoods
2068,Home-Read,Home,820.24,3,PrimeSource
2069,Clothing-Garden,Clothing,232.39,25,BlueHarbor
