TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,QuantitySold,PaymentMethod
1,1/9/2025,1020,2023,401,0,643.02,6,CreditCard
2,7/10/2024,1034,2091,404,2,529.24,3,MobilePay
3,3/22/2025,1087,2035,403,3,4313.72,11,Cash
4,12/27/2024,1186,2015,404,,1275.85,2,DebitCard
5,4/21/2025,1049,2005,402,0,1739.64,9,CreditCard
6,10/30/2024,1093,2054,402,0,1270.12,4,Cash
7,2/20/2025,1005,2097,402,0,644.45,7,MobilePay
8,10/5/2024,1054,2072,403,3,1833.37,1,DebitCard
9,11/22/2024,1063,2068,403,3,828.83,8,CreditCard
10,8/30/2024,1130,2096,401,1,1594.55,5,Cash
11,11/11/2024,1005,2059,403,0,273.38,12,MobilePay
12,4/21/2025,1196,2014,403,3,0,3,DebitCard
13,2/16/2025,1128,2064,401,2,1039.94,10,Cash
14,8/22/2024,1041,2099,401,3,1861.74,2,CreditCard
15,4/19/2025,1078,2035,401,3,4900.93,6,MobilePay
16,12/11/2024,1032,2021,403,3,1861.38,4,DebitCard
17,3/2/2025,1182,2040,404,3,41.46,9,CreditCard
18,10/14/2024,1058,2000,401,0,1815.57,7,MobilePay
19,4/12/2025,1071,2091,402,3,2628.38,1,Cash
20,11/7/2024,1005,2052,404,0,1969.12,11,DebitCard
21,7/12/2024,1086,2013,402,3,1325.7,8,MobilePay
22,11/22/2024,1019,2070,401,,127.04,5,CreditCard
23,5/21/2025,1060,2091,404,3,1240.87,12,Cash
24,6/1/2024,1116,2097,404,2,763.17,3,DebitCard
25,2/22/2025,1089,2039,404,1,2785.23,10,CreditCard
26,4/9/2025,1066,2030,404,1,127.5,2,MobilePay
27,7/5/2024,1144,2033,402,2,821.78,6,Cash
28,1/24/2025,1080,2009,401,0,39.84,4,DebitCard
29,9/17/2024,1017,2047,403,2,1975.1,9,Cash
30,1/16/2025,1020,2013,402,0,1199.52,7,MobilePay
31,9/23/2024,1089,2041,404,0,2406.09,1,CreditCard
32,9/21/2024,1116,2033,402,3,268.15,11,DebitCard
33,5/13/2025,1038,2047,402,0,1803.01,8,CreditCard
34,3/19/2025,1091,2035,401,3,3872.65,5,Cash
35,5/6/2025,1116,2022,404,,697.76,12,MobilePay
36,5/8/2025,1188,2034,402,0,125.51,3,DebitCard
37,11/25/2024,1032,2029,402,,55.96,10,MobilePay
38,4/13/2025,1071,2065,404,2,274.92,2,CreditCard
39,5/22/2025,1020,2039,404,2,4929.06,6,Cash
40,7/19/2024,1048,2079,401,1,814.88,4,DebitCard
41,1/21/2025,1080,2015,403,3,1409.56,9,CreditCard
42,12/15/2024,1005,2022,403,0,459.86,7,MobilePay
43,3/15/2025,1082,2056,402,1,603.38,1,Cash
